model,user_id,relevant_test_movies,hits,precision_at_10
Popularity Baseline,1,79,3,0.3
Popularity Baseline,2,12,1,0.1
Popularity Baseline,3,5,1,0.1
Popularity Baseline,4,8,2,0.2
Popularity Baseline,5,25,0,0.0
Popularity Baseline,6,64,7,0.7
Popularity Baseline,7,135,5,0.5
Popularity Baseline,8,22,1,0.1
Popularity Baseline,9,9,0,0.0
Popularity Baseline,10,82,5,0.5
Popularity Baseline,11,37,0,0.0
Popularity Baseline,12,25,2,0.2
Popularity Baseline,13,107,4,0.4
Popularity Baseline,14,41,3,0.3
Popularity Baseline,15,15,0,0.0
Popularity Baseline,16,59,5,0.5
Popularity Baseline,17,2,0,0.0
Popularity Baseline,18,69,8,0.8
Popularity Baseline,19,5,0,0.0
Popularity Baseline,20,6,0,0.0
Popularity Baseline,21,21,1,0.1
Popularity Baseline,22,36,0,0.0
Popularity Baseline,23,35,4,0.4
Popularity Baseline,24,22,4,0.4
Popularity Baseline,25,30,4,0.4
Popularity Baseline,26,6,0,0.0
Popularity Baseline,27,6,0,0.0
Popularity Baseline,28,27,3,0.3
Popularity Baseline,29,10,1,0.1
Popularity Baseline,30,12,0,0.0
Popularity Baseline,31,10,0,0.0
Popularity Baseline,32,6,0,0.0
Popularity Baseline,33,7,0,0.0
Popularity Baseline,34,9,0,0.0
Popularity Baseline,35,3,0,0.0
Popularity Baseline,36,7,0,0.0
Popularity Baseline,37,15,0,0.0
Popularity Baseline,38,33,0,0.0
Popularity Baseline,39,5,0,0.0
Popularity Baseline,40,6,0,0.0
Popularity Baseline,41,13,1,0.1
Popularity Baseline,42,63,4,0.4
Popularity Baseline,43,75,4,0.4
Popularity Baseline,44,47,3,0.3
Popularity Baseline,45,12,0,0.0
Popularity Baseline,46,12,1,0.1
Popularity Baseline,47,6,0,0.0
Popularity Baseline,48,21,3,0.3
Popularity Baseline,49,25,0,0.0
Popularity Baseline,50,6,0,0.0
Popularity Baseline,51,3,1,0.1
Popularity Baseline,52,17,0,0.0
Popularity Baseline,53,6,0,0.0
Popularity Baseline,54,25,1,0.1
Popularity Baseline,55,4,0,0.0
Popularity Baseline,56,56,3,0.3
Popularity Baseline,57,20,0,0.0
Popularity Baseline,58,52,4,0.4
Popularity Baseline,59,112,8,0.8
Popularity Baseline,60,76,5,0.5
Popularity Baseline,61,3,0,0.0
Popularity Baseline,62,55,2,0.2
Popularity Baseline,63,17,2,0.2
Popularity Baseline,64,54,3,0.3
Popularity Baseline,65,25,2,0.2
Popularity Baseline,66,9,0,0.0
Popularity Baseline,67,13,1,0.1
Popularity Baseline,68,6,1,0.1
Popularity Baseline,69,16,1,0.1
Popularity Baseline,70,30,2,0.2
Popularity Baseline,71,9,0,0.0
Popularity Baseline,72,50,5,0.5
Popularity Baseline,73,22,3,0.3
Popularity Baseline,74,8,0,0.0
Popularity Baseline,75,18,0,0.0
Popularity Baseline,76,21,2,0.2
Popularity Baseline,77,18,2,0.2
Popularity Baseline,78,4,0,0.0
Popularity Baseline,79,17,1,0.1
Popularity Baseline,80,7,0,0.0
Popularity Baseline,81,11,3,0.3
Popularity Baseline,82,34,4,0.4
Popularity Baseline,83,48,0,0.0
Popularity Baseline,84,19,2,0.2
Popularity Baseline,85,69,4,0.4
Popularity Baseline,86,4,0,0.0
Popularity Baseline,87,62,2,0.2
Popularity Baseline,88,7,0,0.0
Popularity Baseline,89,24,0,0.0
Popularity Baseline,90,108,7,0.7
Popularity Baseline,91,34,6,0.6
Popularity Baseline,92,76,3,0.3
Popularity Baseline,93,8,0,0.0
Popularity Baseline,94,106,6,0.6
